0 1 2
3 4 5
0 6 1
7 8 9
3 6 10
9 11 7
6 5 12
6 12 1
6 3 5
10 6 0
8 7 13
3 14 15
10 14 3
16 1 12
12 5 4
4 3 15
10 0 17
11 18 7
4 19 12
2 1 20
11 9 21
8 4 22
4 15 22
23 9 8
12 24 16
8 22 23
25 22 15
17 0 2
1 26 20
13 7 18
27 28 29
17 2 30
9 23 21
14 10 31
32 16 24
14 33 15
34 29 35
13 4 8
29 28 35
22 25 36
25 15 37
18 11 38
19 4 13
14 31 33
37 15 33
36 23 22
23 36 39
19 13 40
29 41 27
13 18 40
24 19 42
40 42 19
43 1 16
43 44 26
26 1 43
17 31 10
27 32 24
39 21 23
45 35 28
32 43 16
28 46 45
30 2 20
38 11 21
38 21 47
32 48 49
25 37 50
41 29 34
19 24 12
51 20 26
27 48 32
48 27 41
52 37 33
51 30 20
43 32 49
27 24 42
44 53 26
25 50 36
33 31 52
42 46 27
17 30 54
26 53 55
26 55 51
46 28 27
40 38 56
34 35 57
38 40 18
47 21 39
31 58 52
50 37 59
17 60 31
35 45 61
62 44 43
51 55 63
47 56 38
52 58 64
52 65 37
42 40 66
58 31 60
62 43 49
67 48 41
68 58 69
49 70 62
65 59 37
60 17 54
51 63 71
51 71 30
70 48 67
44 62 53
72 36 50
34 57 73
49 48 70
41 34 67
60 74 58
52 64 65
64 58 68
46 42 66
57 35 61
40 56 75
62 70 76
69 58 74
54 30 71
69 77 68
56 47 78
61 45 79
66 40 75
66 80 46
50 59 81
62 76 82
77 69 83
69 84 83
34 73 67
39 78 47
39 36 85
75 80 66
72 50 81
69 74 84
71 63 86
45 46 79
74 60 87
81 59 88
59 65 88
56 78 75
63 55 89
90 53 62
53 89 55
87 60 54
72 81 91
71 86 92
90 62 82
78 39 85
79 46 93
80 93 46
94 57 61
36 72 85
65 64 95
54 71 96
53 97 89
73 57 94
64 68 98
64 98 95
83 99 77
83 84 99
100 70 67
63 89 86
76 70 100
101 82 76
88 65 95
102 67 73
85 72 91
100 67 102
98 68 77
98 77 103
104 84 74
82 105 90
97 53 90
89 97 106
101 76 100
87 54 96
74 87 107
94 61 79
90 108 97
109 75 78
84 104 99
79 110 94
95 98 103
78 85 111
107 104 74
92 96 71
85 91 111
81 112 91
108 90 105
82 101 113
103 77 99
114 105 82
73 94 110
86 89 115
106 116 89
100 117 101
100 118 117
80 75 109
110 79 93
102 73 110
97 108 119
120 100 102
89 116 115
101 117 113
121 88 95
105 114 122
92 86 115
105 122 108
81 88 121
120 118 100
109 78 111
104 123 99
95 103 99
110 120 102
120 110 124
95 99 123
109 125 80
114 82 113
124 110 93
96 126 87
127 128 129
104 130 123
125 93 80
96 115 126
121 112 81
116 106 131
132 129 128
106 97 119
113 117 133
134 122 114
129 132 135
127 129 136
115 116 137
107 87 138
121 95 139
115 96 92
111 91 112
125 109 140
124 93 125
108 141 119
106 142 131
112 143 111
127 144 128
127 136 133
107 145 104
123 139 95
135 146 129
114 113 133
114 133 147
118 120 148
111 140 109
125 140 149
131 137 116
108 122 150
128 151 132
152 106 119
141 108 150
112 121 139
128 144 151
133 117 118
147 134 114
136 129 146
124 153 120
148 120 153
142 106 152
139 123 154
126 138 87
155 112 139
118 148 156
145 107 138
125 153 124
153 125 149
123 130 154
134 147 157
158 127 133
158 144 127
158 118 156
130 104 145
143 112 155
147 133 136
133 118 158
134 157 122
130 145 154
143 155 159
154 155 139
136 146 160
138 126 161
135 132 162
143 140 111
160 146 163
154 145 164
140 143 165
162 132 151
135 163 146
126 115 166
137 131 167
155 154 168
144 158 169
159 155 168
157 147 160
115 137 166
170 119 141
138 171 145
166 161 126
160 147 136
152 119 172
157 150 122
151 144 169
138 161 171
163 135 173
154 164 174
166 137 167
143 159 175
157 160 176
148 177 178
170 141 179
150 179 141
178 156 148
168 154 180
158 156 181
131 142 167
172 119 170
164 145 171
165 143 175
160 163 176
162 173 135
180 154 174
163 173 182
161 183 171
179 150 184
166 167 185
162 186 173
161 185 187
153 177 148
170 188 172
