,x,y,z,r,ux,uy,uz,U_mag,mu,g11,g12,g13,g21,g22,g23,g31,g32,g33,F11,F12,F13,F21,F22,F23,F31,F32,F33,C11,C12,C13,C21,C22,C23,C31,C32,C33,w1,w2,w3,v11,v12,v13,v21,v22,v23,v31,v32,v33
19,0.0,22.474747474747474,0.0,12.474747474747474,0.07731091863420426,0.7839597446529889,-0.05700891701591025,0.7898226864276381,328.24999999999824,0.02932290385016349,-0.020684683424769156,0.0030200282297955863,-0.00455386540555099,-0.03500147814914415,0.016963670573944243,0.01469819941604568,0.004459095174794168,-0.00020057449693742637,1.0293229038501635,-0.020684683424769156,0.0030200282297955863,-0.00455386540555099,0.9649985218508559,0.016963670573944243,0.01469819941604568,0.004459095174794168,0.9997994255030626,1.0597424151467383,-0.025620151122974933,0.017726585286716733,-0.025620151122974933,0.9316698868324976,0.020765649495176553,0.017726585286716733,0.020765649495176553,0.999895777926104,1.0675325582185502,0.9196023510334924,1.0041731706532968,0.9666540343491676,-0.15063210063352564,0.20709888492024692,-0.2073213740980193,-0.9350441693033483,0.28759389648238454,-0.150325732057379,0.32093982568472873,0.9350934726383608
20,0.0,23.13131313131313,0.0,13.131313131313131,0.06373006588056795,0.7609789761712276,-0.05408122826478275,0.7655555516893459,328.2499999999971,0.02932290385016349,-0.020684683424769156,0.0030200282297955863,-0.00455386540555099,-0.03500147814914415,0.016963670573944243,0.01469819941604568,0.004459095174794168,-0.00020057449693742637,1.0293229038501635,-0.020684683424769156,0.0030200282297955863,-0.00455386540555099,0.9649985218508559,0.016963670573944243,0.01469819941604568,0.004459095174794168,0.9997994255030626,1.0597424151467383,-0.025620151122974933,0.017726585286716733,-0.025620151122974933,0.9316698868324976,0.020765649495176553,0.017726585286716733,0.020765649495176553,0.999895777926104,1.0675325582185502,0.9196023510334924,1.0041731706532968,0.9666540343491676,-0.15063210063352564,0.20709888492024692,-0.2073213740980193,-0.9350441693033483,0.28759389648238454,-0.150325732057379,0.32093982568472873,0.9350934726383608
21,0.0,23.78787878787879,0.0,13.787878787878789,0.05754055039501911,0.7435499488167905,-0.04653021235586914,0.7472231942245207,328.2499999999979,0.01867892134174258,-0.007217696250922676,-0.000746774332407909,-0.012548715769862507,-0.0248862278443052,0.01413437028029035,0.008040322551103683,0.012882778911054353,-0.0025567327876766244,1.0186789213417426,-0.007217696250922676,-0.000746774332407909,-0.012548715769862507,0.9751137721556948,0.01413437028029035,0.008040322551103683,0.012882778911054353,0.9974432672123233,1.0379288618401747,-0.0194853589037231,0.007081674128157436,-0.0194853589037231,0.95106492977935,0.026637850199174647,0.007081674128157436,0.026637850199174647,0.9950934094023182,0.9344027513544447,1.0421461515071053,1.0075382981602932,-0.19565988552064145,-0.8893774219474423,0.41318883156272596,-0.9793070693209897,0.1994186839017896,-0.034494238487212184,0.05171917609535943,0.4113878824673866,0.909991833470508
22,0.0,24.444444444444443,0.0,14.444444444444443,0.052801658917140615,0.7272105062927516,-0.03807182216174258,0.7301182091207407,328.2499999999991,0.01867892134174258,-0.007217696250922676,-0.000746774332407909,-0.012548715769862507,-0.0248862278443052,0.01413437028029035,0.008040322551103683,0.012882778911054353,-0.0025567327876766244,1.0186789213417426,-0.007217696250922676,-0.000746774332407909,-0.012548715769862507,0.9751137721556948,0.01413437028029035,0.008040322551103683,0.012882778911054353,0.9974432672123233,1.0379288618401747,-0.0194853589037231,0.007081674128157436,-0.0194853589037231,0.95106492977935,0.026637850199174647,0.007081674128157436,0.026637850199174647,0.9950934094023182,0.9344027513544447,1.0421461515071053,1.0075382981602932,-0.19565988552064145,-0.8893774219474423,0.41318883156272596,-0.9793070693209897,0.1994186839017896,-0.034494238487212184,0.05171917609535943,0.4113878824673866,0.909991833470508
23,0.0,25.1010101010101,0.0,15.1010101010101,0.04806276743926209,0.7108710637687129,-0.02961343196761597,0.7131091461133301,328.25000000000034,0.01867892134174258,-0.007217696250922676,-0.000746774332407909,-0.012548715769862507,-0.0248862278443052,0.01413437028029035,0.008040322551103683,0.012882778911054353,-0.0025567327876766244,1.0186789213417426,-0.007217696250922676,-0.000746774332407909,-0.012548715769862507,0.9751137721556948,0.01413437028029035,0.008040322551103683,0.012882778911054353,0.9974432672123233,1.0379288618401747,-0.0194853589037231,0.007081674128157436,-0.0194853589037231,0.95106492977935,0.026637850199174647,0.007081674128157436,0.026637850199174647,0.9950934094023182,0.9344027513544447,1.0421461515071053,1.0075382981602932,-0.19565988552064145,-0.8893774219474423,0.41318883156272596,-0.9793070693209897,0.1994186839017896,-0.034494238487212184,0.05171917609535943,0.4113878824673866,0.909991833470508
24,0.0,25.757575757575758,0.0,15.757575757575758,0.043016511003118485,0.6929032525892409,-0.02080694659952155,0.6945489663763283,328.2500000000016,0.020817401442656407,-0.009978501824497134,-0.007767725316954554,-0.0012194022845156503,-0.03951251863922632,-0.023061465507563425,0.005618463511101126,0.016009430374022623,0.005394593766202935,1.0208174014426563,-0.009978501824497134,-0.007767725316954554,-0.0012194022845156503,0.9604874813607737,-0.023061465507563425,0.005618463511101126,0.016009430374022623,1.005394593766203,1.0421012211622944,-0.01126750053140402,-0.0022525351301159293,-0.01126750053140402,0.9228920742103247,-0.00597694391328174,-0.0022525351301159293,-0.00597694391328174,1.0114104579222645,0.9214145487651153,1.0432469484758418,1.0117422560539255,-0.09400416109739727,-0.9932250925278666,-0.06831642020323628,-0.9944693205986755,0.09045025331129336,0.05338091479107251,0.04684002651988198,-0.0729566120987927,0.9962345831513193
25,0.0,26.414141414141415,0.0,16.414141414141415,0.03646496940117591,0.6669606898463145,-0.010295704434759212,0.6680361197746035,328.25000000000284,0.020817401442656407,-0.009978501824497134,-0.007767725316954554,-0.0012194022845156503,-0.03951251863922632,-0.023061465507563425,0.005618463511101126,0.016009430374022623,0.005394593766202935,1.0208174014426563,-0.009978501824497134,-0.007767725316954554,-0.0012194022845156503,0.9604874813607737,-0.023061465507563425,0.005618463511101126,0.016009430374022623,1.005394593766203,1.0421012211622944,-0.01126750053140402,-0.0022525351301159293,-0.01126750053140402,0.9228920742103247,-0.00597694391328174,-0.0022525351301159293,-0.00597694391328174,1.0114104579222645,0.9214145487651153,1.0432469484758418,1.0117422560539255,-0.09400416109739727,-0.9932250925278666,-0.06831642020323628,-0.9944693205986755,0.09045025331129336,0.05338091479107251,0.04684002651988198,-0.0729566120987927,0.9962345831513193
26,0.0,27.070707070707073,0.0,17.070707070707073,0.029913427799233346,0.6410181271033881,0.00021553773000312806,0.6417157461792165,328.2500000000041,0.020817401442656407,-0.009978501824497134,-0.007767725316954554,-0.0012194022845156503,-0.03951251863922632,-0.023061465507563425,0.005618463511101126,0.016009430374022623,0.005394593766202935,1.0208174014426563,-0.009978501824497134,-0.007767725316954554,-0.0012194022845156503,0.9604874813607737,-0.023061465507563425,0.005618463511101126,0.016009430374022623,1.005394593766203,1.0421012211622944,-0.01126750053140402,-0.0022525351301159293,-0.01126750053140402,0.9228920742103247,-0.00597694391328174,-0.0022525351301159293,-0.00597694391328174,1.0114104579222645,0.9214145487651153,1.0432469484758418,1.0117422560539255,-0.09400416109739727,-0.9932250925278666,-0.06831642020323628,-0.9944693205986755,0.09045025331129336,0.05338091479107251,0.04684002651988198,-0.0729566120987927,0.9962345831513193
27,0.0,27.727272727272727,0.0,17.727272727272727,0.028087428421359542,0.6242741100968185,0.006080176909847551,0.6249352260224693,328.250000000004,0.02430221923602135,0.000982292766396338,-0.0037805034001074053,0.005564000409860704,-0.01817668762334454,-0.015300103652342628,0.002191858903047831,0.005231733667872929,0.0014739775952188926,1.0243022192360214,0.000982292766396338,-0.0037805034001074053,0.005564000409860704,0.9818233123766554,-0.015300103652342628,0.002191858903047831,0.005231733667872929,1.0014739775952188,1.04923079867785,0.0064804971950520665,-0.001762418151589081,0.0064804971950520665,0.964005352662518,-0.009786266882708939,-0.001762418151589081,-0.009786266882708939,1.0031985131781196,1.0498573322084634,0.9613003318441964,1.005277000465827,0.9951859233545688,0.08135107799437065,-0.054653271320831906,0.0671574903472553,-0.9722131865927282,-0.22425742196295734,0.07137821409346785,-0.21950745300414598,0.9729962120319174
28,0.0,28.383838383838384,0.0,18.383838383838384,0.027628111701727742,0.6114352402520962,0.00911551359982224,0.6121269951297118,328.2500000000037,0.017791443917896853,-0.005993360752392319,0.002245378502032939,0.0002299360981755476,-0.02389161137162248,-0.010363296585577615,-0.00016444707552415016,0.0027071842420906887,0.003654796446801093,1.0177914439178968,-0.005993360752392319,0.002245378502032939,0.0002299360981755476,0.9761083886283776,-0.010363296585577615,-0.00016444707552415016,0.0027071842420906887,1.003654796446801,1.035899503225927,-0.005875993928352118,0.0021178960356337227,-0.005875993928352118,0.9528308355703167,-0.007412079644974967,0.0021178960356337227,-0.007412079644974967,1.0074353900714075,0.9514778205338725,1.0365563850016208,1.0081315233321586,-0.06564781022223509,-0.9895230543162792,-0.1285865078054753,-0.9927135239143519,0.0778151548909424,-0.09200359290184286,-0.10104565527807013,-0.12160973088482908,0.9874213127655008
