,x,y,z,r,ux,uy,uz,U_mag,mu,g11,g12,g13,g21,g22,g23,g31,g32,g33,F11,F12,F13,F21,F22,F23,F31,F32,F33,C11,C12,C13,C21,C22,C23,C31,C32,C33,xstretch,ystretch,zstretch
29,0.0,29.04040404040404,0.0,0.0,0.00598830163331714,0.6599999833583277,-0.002882042344312003,0.6600334415448348,328.25000000000443,0.018635733434095424,-0.006217842901865812,0.0059625334031894435,-0.0013909081511966142,-0.03829531056980033,-0.0026309376141603717,-0.0011270262607284648,0.0020370126732786073,0.00479285780150354,1.0186357334340954,-0.006217842901865812,0.0059625334031894435,-0.0013909081511966142,0.9617046894301997,-0.0026309376141603717,-0.0011270262607284648,0.0020370126732786073,1.0047928578015035,1.0376219622424951,-0.00767365562306876,0.0049448810415213,-0.00767365562306876,0.9249187206630203,-0.0005204833517729979,0.0049448810415213,-0.0005204833517729979,1.0096511607262262,0.9243982402338636,1.0389837264139836,1.008809876983893
30,0.0,29.696969696969695,0.0,0.0,0.002907759836078966,0.6367664109080973,-0.0022224948965503654,0.6367769284542345,328.25000000000443,0.01909935874603525,-0.003041032948876102,0.00320072880312825,-0.0005071321476069375,-0.032239583386420204,-0.00789556956862623,-0.0014407211152756706,-0.00011245783763376686,0.00666153034804567,1.0190993587460353,-0.003041032948876102,0.00320072880312825,-0.0005071321476069375,0.9677604166135798,-0.00789556956862623,-0.0014407211152756706,-0.00011245783763376686,1.0066615303480457,1.0385658358569274,-0.0035897351261901726,0.0018155462452317324,-0.0035897351261901726,0.9365694844922509,-0.007763960195817992,0.0018155462452317324,-0.007763960195817992,1.0134400213663537,0.9356813124413962,1.03886732864873,1.0140267006254056
31,0.0,30.353535353535353,0.0,0.0,0.0009111220413623427,0.615599007674589,-0.0022963308505523335,0.6156039648415921,328.2500000000036,0.01909935874603525,-0.003041032948876102,0.00320072880312825,-0.0005071321476069375,-0.032239583386420204,-0.00789556956862623,-0.0014407211152756706,-0.00011245783763376686,0.00666153034804567,1.0190993587460353,-0.003041032948876102,0.00320072880312825,-0.0005071321476069375,0.9677604166135798,-0.00789556956862623,-0.0014407211152756706,-0.00011245783763376686,1.0066615303480457,1.0385658358569274,-0.0035897351261901726,0.0018155462452317324,-0.0035897351261901726,0.9365694844922509,-0.007763960195817992,0.0018155462452317324,-0.007763960195817992,1.0134400213663537,0.9356813124413962,1.03886732864873,1.0140267006254056
32,0.0,31.01010101010101,0.0,0.0,-0.0010855157533543047,0.5944316044410808,-0.002370166804554299,0.5944373208283021,328.25000000000273,0.01909935874603525,-0.003041032948876102,0.00320072880312825,-0.0005071321476069375,-0.032239583386420204,-0.00789556956862623,-0.0014407211152756706,-0.00011245783763376686,0.00666153034804567,1.0190993587460353,-0.003041032948876102,0.00320072880312825,-0.0005071321476069375,0.9677604166135798,-0.00789556956862623,-0.0014407211152756706,-0.00011245783763376686,1.0066615303480457,1.0385658358569274,-0.0035897351261901726,0.0018155462452317324,-0.0035897351261901726,0.9365694844922509,-0.007763960195817992,0.0018155462452317324,-0.007763960195817992,1.0134400213663537,0.9356813124413962,1.03886732864873,1.0140267006254056
33,0.0,31.666666666666668,0.0,0.0,-0.0028356321569609124,0.572772246257864,-0.0025220303995109232,0.5727848178245867,328.2500000000018,0.014303128233758202,0.00047846513329874516,0.00010378429596243337,0.009064164403304428,-0.039263048953521645,-0.001715346536408504,7.735628426580077e-05,-0.001226430671633903,0.007641758769496267,1.0143031282337582,0.00047846513329874516,0.00010378429596243337,0.009064164403304428,0.9607369510464784,-0.001715346536408504,7.735628426580077e-05,-0.001226430671633903,1.0076417587694964,1.0288930010051125,0.00919349148195075,0.0001676679753710535,0.00919349148195075,0.9230172221671595,-0.0028837499031842814,0.0001676679753710535,-0.0028837499031842814,1.0153448672010041,0.922135404913427,1.0296858228986494,1.0154338625611996
34,0.0,32.323232323232325,0.0,0.0,-0.0025214883825728516,0.5469934767429255,-0.003327262658664495,0.5470094077616733,328.25000000000017,0.014303128233758202,0.00047846513329874516,0.00010378429596243337,0.009064164403304428,-0.039263048953521645,-0.001715346536408504,7.735628426580077e-05,-0.001226430671633903,0.007641758769496267,1.0143031282337582,0.00047846513329874516,0.00010378429596243337,0.009064164403304428,0.9607369510464784,-0.001715346536408504,7.735628426580077e-05,-0.001226430671633903,1.0076417587694964,1.0288930010051125,0.00919349148195075,0.0001676679753710535,0.00919349148195075,0.9230172221671595,-0.0028837499031842814,0.0001676679753710535,-0.0028837499031842814,1.0153448672010041,0.922135404913427,1.0296858228986494,1.0154338625611996
35,0.0,32.97979797979798,0.0,0.0,-0.002207344608184789,0.5212147072279874,-0.004132494917818068,0.521235763273417,328.24999999999864,0.014303128233758202,0.00047846513329874516,0.00010378429596243337,0.009064164403304428,-0.039263048953521645,-0.001715346536408504,7.735628426580077e-05,-0.001226430671633903,0.007641758769496267,1.0143031282337582,0.00047846513329874516,0.00010378429596243337,0.009064164403304428,0.9607369510464784,-0.001715346536408504,7.735628426580077e-05,-0.001226430671633903,1.0076417587694964,1.0288930010051125,0.00919349148195075,0.0001676679753710535,0.00919349148195075,0.9230172221671595,-0.0028837499031842814,0.0001676679753710535,-0.0028837499031842814,1.0153448672010041,0.922135404913427,1.0296858228986494,1.0154338625611996
36,0.0,33.63636363636364,0.0,0.0,-0.0018932008337967168,0.4954359377130487,-0.004937727176971644,0.4954641598911865,328.24999999999693,0.014303128233758202,0.00047846513329874516,0.00010378429596243337,0.009064164403304428,-0.039263048953521645,-0.001715346536408504,7.735628426580077e-05,-0.001226430671633903,0.007641758769496267,1.0143031282337582,0.00047846513329874516,0.00010378429596243337,0.009064164403304428,0.9607369510464784,-0.001715346536408504,7.735628426580077e-05,-0.001226430671633903,1.0076417587694964,1.0288930010051125,0.00919349148195075,0.0001676679753710535,0.00919349148195075,0.9230172221671595,-0.0028837499031842814,0.0001676679753710535,-0.0028837499031842814,1.0153448672010041,0.922135404913427,1.0296858228986494,1.0154338625611996
37,0.0,34.292929292929294,0.0,0.0,-0.0006662014469505087,0.47972762764895704,-0.005506913027101658,0.4797596967703231,328.2500000000031,0.013767234214396256,0.0018793308823589934,0.00030063548028158447,0.0031522776620886406,-0.023808949170969217,0.0004562804355711716,-6.121531146220205e-05,-0.0008641944920267696,0.007692660592891365,1.0137672342143962,0.0018793308823589934,0.00030063548028158447,0.0031522776620886406,0.9761910508290308,0.0004562804355711716,-6.121531146220205e-05,-0.0008641944920267696,1.0076926605928913,1.0277339457684798,0.004982482216176962,0.0002445265019001087,0.004982482216176962,0.9529532464353728,-0.0004248605755248017,0.0002445265019001087,-0.0004248605755248017,1.0154447967863078,0.9526196516068868,1.028068149680432,1.0154441877028437
38,0.0,34.94949494949495,0.0,0.0,0.0005677026677296353,0.4640954893043813,-0.0060743134511596335,0.4641355866154792,328.25000000000364,0.013767234214396256,0.0018793308823589934,0.00030063548028158447,0.0031522776620886406,-0.023808949170969217,0.0004562804355711716,-6.121531146220205e-05,-0.0008641944920267696,0.007692660592891365,1.0137672342143962,0.0018793308823589934,0.00030063548028158447,0.0031522776620886406,0.9761910508290308,0.0004562804355711716,-6.121531146220205e-05,-0.0008641944920267696,1.0076926605928913,1.0277339457684798,0.004982482216176962,0.0002445265019001087,0.004982482216176962,0.9529532464353728,-0.0004248605755248017,0.0002445265019001087,-0.0004248605755248017,1.0154447967863078,0.9526196516068868,1.028068149680432,1.0154441877028437
