p_x,p_y,p_z,u_x,u_y,u_z,dot
147.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
7.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
17.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
27.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
37.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
47.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
57.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
67.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
77.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
87.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
97.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
107.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
117.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
127.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
137.239342033,147.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,111.810019943,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,101.810019943,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,91.810019943,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,81.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,71.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,61.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,51.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,41.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,31.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,21.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,11.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,1.810019943,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,-8.189980057,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,147.965348957,-18.189980057,0.000000000,0.000000000,0.000000000,0.000000000
7.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
17.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
27.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
37.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
47.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
57.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
67.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
77.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
87.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
97.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
107.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
117.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
127.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
137.239342033,147.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,-18.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,-8.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,1.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,11.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,21.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,31.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,41.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,51.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,61.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,71.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,81.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,91.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,101.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,147.965348957,111.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,137.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,127.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,117.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,107.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,97.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,87.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,77.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,67.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,57.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,47.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,37.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,27.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,17.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,7.965348957,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
137.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
127.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
117.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
107.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
97.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
87.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
77.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
67.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
57.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
47.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
37.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
27.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
17.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
7.239342033,-2.034651043,121.810019943,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,111.810019943,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,101.810019943,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,91.810019943,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,81.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,71.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,61.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,51.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,41.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,31.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,21.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,11.810019944,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,1.810019943,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,-8.189980057,0.000000000,0.000000000,0.000000000,0.000000000
-2.760657967,-2.034651043,-18.189980057,0.000000000,0.000000000,0.000000000,0.000000000
7.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
17.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
27.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
37.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
47.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
57.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
67.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
77.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
87.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
97.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
107.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
117.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
127.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
137.239342033,-2.034651043,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,-18.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,-8.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,1.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,11.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,21.810019943,0.000000000,0.000000000,0.000000000,0.000000000
