"normal_distance","arc_length","Points:0","Points:1","Points:2"
12.106,11.403,76.679,53.273,83.373
12.186,11.48,76.677,53.243,83.444
12.266,11.558,76.675,53.212,83.515
12.346,11.635,76.673,53.181,83.587
12.427,11.713,76.67,53.151,83.658
12.521,11.79,76.668,53.12,83.729
12.614,11.868,76.666,53.09,83.8
12.708,11.946,76.664,53.059,83.872
12.801,12.023,76.662,53.029,83.943
12.894,12.101,76.659,52.998,84.014
12.988,12.178,76.657,52.968,84.085
13.081,12.256,76.655,52.937,84.157
13.175,12.333,76.653,52.906,84.228
13.268,12.411,76.651,52.876,84.299
13.361,12.489,76.649,52.845,84.371
13.455,12.566,76.646,52.815,84.442
13.548,12.644,76.644,52.784,84.513
13.641,12.721,76.642,52.754,84.584
13.735,12.799,76.64,52.723,84.656
13.828,12.876,76.638,52.692,84.727
13.921,12.954,76.635,52.662,84.798
14.015,13.031,76.633,52.631,84.869
14.108,13.109,76.631,52.601,84.941
14.201,13.187,76.629,52.57,85.012
14.295,13.264,76.627,52.54,85.083
14.388,13.342,76.624,52.509,85.154
14.481,13.419,76.622,52.479,85.226
14.575,13.497,76.62,52.448,85.297
14.668,13.574,76.618,52.417,85.368
14.762,13.652,76.616,52.387,85.439
14.832,13.73,76.614,52.356,85.511
14.896,13.807,76.611,52.326,85.582
14.96,13.885,76.609,52.295,85.653
15.024,13.962,76.607,52.265,85.724
15.088,14.04,76.605,52.234,85.796
15.152,14.117,76.603,52.204,85.867
15.217,14.195,76.6,52.173,85.938
15.281,14.273,76.598,52.142,86.01
15.345,14.35,76.596,52.112,86.081
15.409,14.428,76.594,52.081,86.152
15.473,14.505,76.592,52.051,86.223
15.538,14.583,76.589,52.02,86.295
15.602,14.66,76.587,51.99,86.366
15.666,14.738,76.585,51.959,86.437
15.73,14.816,76.583,51.929,86.508
15.794,14.893,76.581,51.898,86.58
15.858,14.971,76.579,51.867,86.651
15.923,15.048,76.576,51.837,86.722
15.987,15.126,76.574,51.806,86.793
16.051,15.203,76.572,51.776,86.865
16.115,15.281,76.57,51.745,86.936
16.179,15.359,76.568,51.715,87.007
16.243,15.436,76.565,51.684,87.078
16.308,15.514,76.563,51.654,87.15
16.372,15.591,76.561,51.623,87.221
16.436,15.669,76.559,51.592,87.292
16.5,15.746,76.557,51.562,87.364
16.564,15.824,76.554,51.531,87.435
16.628,15.902,76.552,51.501,87.506
16.693,15.979,76.55,51.47,87.577
16.757,16.057,76.548,51.44,87.649
16.822,16.134,76.546,51.409,87.72
16.89,16.212,76.544,51.379,87.791
16.958,16.289,76.541,51.348,87.862
17.026,16.367,76.539,51.317,87.934
17.094,16.444,76.537,51.287,88.005
17.161,16.522,76.535,51.256,88.076
17.229,16.6,76.533,51.226,88.147
17.297,16.677,76.53,51.195,88.219
17.365,16.755,76.528,51.165,88.29
17.433,16.832,76.526,51.134,88.361
17.5,16.91,76.524,51.104,88.432
17.568,16.987,76.522,51.073,88.504
17.636,17.065,76.519,51.042,88.575
17.704,17.143,76.517,51.012,88.646
17.772,17.22,76.515,50.981,88.718
17.84,17.298,76.513,50.951,88.789
17.911,17.375,76.511,50.92,88.86
17.984,17.453,76.509,50.89,88.931
18.057,17.53,76.506,50.859,89.003
18.129,17.608,76.504,50.829,89.074
18.202,17.686,76.502,50.798,89.145
18.275,17.763,76.5,50.767,89.216
18.347,17.841,76.498,50.737,89.288
18.42,17.918,76.495,50.706,89.359
18.493,17.996,76.493,50.676,89.43
18.565,18.073,76.491,50.645,89.501
18.638,18.151,76.489,50.615,89.573
18.711,18.229,76.487,50.584,89.644
18.783,18.306,76.484,50.554,89.715
18.856,18.384,76.482,50.523,89.786
18.929,18.461,76.48,50.492,89.858
19.001,18.539,76.478,50.462,89.929
19.074,18.616,76.476,50.431,90
19.147,18.694,76.474,50.401,90.072
19.219,18.772,76.471,50.37,90.143
19.292,18.849,76.469,50.34,90.214
19.365,18.927,76.467,50.309,90.285
19.437,19.004,76.465,50.279,90.357
19.51,19.082,76.463,50.248,90.428
19.583,19.159,76.46,50.217,90.499
19.655,19.237,76.458,50.187,90.57
19.728,19.315,76.456,50.156,90.642
19.801,19.392,76.454,50.126,90.713
19.873,19.47,76.452,50.095,90.784
19.946,19.547,76.449,50.065,90.855
20.019,19.625,76.447,50.034,90.927
20.091,19.702,76.445,50.003,90.998
20.164,19.78,76.443,49.973,91.069
20.237,19.858,76.441,49.942,91.14
20.309,19.935,76.439,49.912,91.212
20.382,20.013,76.436,49.881,91.283
20.455,20.09,76.434,49.851,91.354
20.527,20.168,76.432,49.82,91.425
20.6,20.245,76.43,49.79,91.497
20.673,20.323,76.428,49.759,91.568
20.745,20.4,76.425,49.728,91.639
20.818,20.478,76.423,49.698,91.711
20.891,20.556,76.421,49.667,91.782
20.963,20.633,76.419,49.637,91.853
21.036,20.711,76.417,49.606,91.924
21.109,20.788,76.414,49.576,91.996
21.181,20.866,76.412,49.545,92.067
21.254,20.943,76.41,49.515,92.138
21.327,21.021,76.408,49.484,92.209
21.399,21.099,76.406,49.453,92.281
21.472,21.176,76.404,49.423,92.352
21.545,21.254,76.401,49.392,92.423
21.617,21.331,76.399,49.362,92.494
21.692,21.409,76.397,49.331,92.566
21.775,21.486,76.395,49.301,92.637
21.859,21.564,76.393,49.27,92.708
21.942,21.642,76.39,49.24,92.779
22.026,21.719,76.388,49.209,92.851
22.109,21.797,76.386,49.178,92.922
22.193,21.874,76.384,49.148,92.993
22.277,21.952,76.382,49.117,93.065
22.36,22.029,76.379,49.087,93.136
22.444,22.107,76.377,49.056,93.207
22.527,22.185,76.375,49.026,93.278
22.611,22.262,76.373,48.995,93.35
22.694,22.34,76.371,48.965,93.421
22.778,22.417,76.369,48.934,93.492
22.862,22.495,76.366,48.903,93.563
22.945,22.572,76.364,48.873,93.635
23.029,22.65,76.362,48.842,93.706
23.112,22.728,76.36,48.812,93.777
23.196,22.805,76.358,48.781,93.848
23.279,22.883,76.355,48.751,93.92
23.363,22.96,76.353,48.72,93.991
23.443,23.038,76.351,48.69,94.062
23.519,23.115,76.349,48.659,94.133
23.594,23.193,76.347,48.628,94.205
23.669,23.271,76.344,48.598,94.276
23.745,23.348,76.342,48.567,94.347
23.82,23.426,76.34,48.537,94.419
23.895,23.503,76.338,48.506,94.49
23.971,23.581,76.336,48.476,94.561
24.046,23.658,76.334,48.445,94.632
24.122,23.736,76.331,48.415,94.704
24.197,23.813,76.329,48.384,94.775
24.272,23.891,76.327,48.353,94.846
24.348,23.969,76.325,48.323,94.917
24.423,24.046,76.323,48.292,94.989
24.498,24.124,76.32,48.262,95.06
24.574,24.201,76.318,48.231,95.131
24.649,24.279,76.316,48.201,95.202
24.725,24.356,76.314,48.17,95.274
24.8,24.434,76.312,48.14,95.345
24.875,24.512,76.309,48.109,95.416
24.951,24.589,76.307,48.078,95.487
25.026,24.667,76.305,48.048,95.559
25.101,24.744,76.303,48.017,95.63
25.177,24.822,76.301,47.987,95.701
25.252,24.899,76.299,47.956,95.773
25.327,24.977,76.296,47.926,95.844
25.403,25.055,76.294,47.895,95.915
25.478,25.132,76.292,47.865,95.986
25.554,25.21,76.29,47.834,96.058
25.629,25.287,76.288,47.803,96.129
25.704,25.365,76.285,47.773,96.2
25.78,25.442,76.283,47.742,96.271
25.855,25.52,76.281,47.712,96.343
25.93,25.598,76.279,47.681,96.414
26.006,25.675,76.277,47.651,96.485
26.081,25.753,76.274,47.62,96.556
26.157,25.83,76.272,47.59,96.628
26.232,25.908,76.27,47.559,96.699
26.307,25.985,76.268,47.528,96.77
26.383,26.063,76.266,47.498,96.841
26.458,26.141,76.264,47.467,96.913
26.533,26.218,76.261,47.437,96.984
26.609,26.296,76.259,47.406,97.055
26.684,26.373,76.257,47.376,97.127
26.759,26.451,76.255,47.345,97.198
26.835,26.528,76.253,47.314,97.269
26.91,26.606,76.25,47.284,97.34
26.986,26.684,76.248,47.253,97.412
27.061,26.761,76.246,47.223,97.483
27.136,26.839,76.244,47.192,97.554
27.212,26.916,76.242,47.162,97.625
27.287,26.994,76.239,47.131,97.697
27.362,27.071,76.237,47.101,97.768
27.438,27.149,76.235,47.07,97.839
27.515,27.227,76.233,47.039,97.91
27.594,27.304,76.231,47.009,97.982
27.674,27.382,76.229,46.978,98.053
27.754,27.459,76.226,46.948,98.124
27.834,27.537,76.224,46.917,98.195
27.913,27.614,76.222,46.887,98.267
27.993,27.692,76.22,46.856,98.338
28.073,27.769,76.218,46.826,98.409
28.152,27.847,76.215,46.795,98.48
28.232,27.925,76.213,46.764,98.552
28.312,28.002,76.211,46.734,98.623
28.392,28.08,76.209,46.703,98.694
28.471,28.157,76.207,46.673,98.766
28.551,28.235,76.204,46.642,98.837
28.631,28.312,76.202,46.612,98.908
28.711,28.39,76.2,46.581,98.979
28.79,28.468,76.198,46.551,99.051
28.87,28.545,76.196,46.52,99.122
28.95,28.623,76.194,46.489,99.193
29.029,28.7,76.191,46.459,99.264
29.109,28.778,76.189,46.428,99.336
29.189,28.855,76.187,46.398,99.407
29.269,28.933,76.185,46.367,99.478
29.348,29.011,76.183,46.337,99.549
29.428,29.088,76.18,46.306,99.621
29.508,29.166,76.178,46.276,99.692
29.587,29.243,76.176,46.245,99.763
29.667,29.321,76.174,46.214,99.834
29.746,29.398,76.172,46.184,99.906
29.823,29.476,76.169,46.153,99.977
29.901,29.554,76.167,46.123,100.05
29.979,29.631,76.165,46.092,100.12
30.057,29.709,76.163,46.062,100.19
30.135,29.786,76.161,46.031,100.26
30.213,29.864,76.159,46.001,100.33
30.291,29.941,76.156,45.97,100.4
30.368,30.019,76.154,45.939,100.48
30.446,30.097,76.152,45.909,100.55
30.524,30.174,76.15,45.878,100.62
30.602,30.252,76.148,45.848,100.69
30.68,30.329,76.145,45.817,100.76
30.758,30.407,76.143,45.787,100.83
30.836,30.484,76.141,45.756,100.9
30.913,30.562,76.139,45.726,100.97
30.991,30.64,76.137,45.695,101.05
31.069,30.717,76.134,45.664,101.12
31.147,30.795,76.132,45.634,101.19
31.225,30.872,76.13,45.603,101.26
31.303,30.95,76.128,45.573,101.33
31.381,31.027,76.126,45.542,101.4
31.458,31.105,76.124,45.512,101.47
31.536,31.182,76.121,45.481,101.54
31.614,31.26,76.119,45.451,101.62
31.692,31.338,76.117,45.42,101.69
31.77,31.415,76.115,45.389,101.76
31.846,31.493,76.113,45.359,101.83
31.921,31.57,76.11,45.328,101.9
31.996,31.648,76.108,45.298,101.97
32.071,31.725,76.106,45.267,102.04
32.146,31.803,76.104,45.237,102.11
32.221,31.881,76.102,45.206,102.19
32.296,31.958,76.099,45.176,102.26
32.371,32.036,76.097,45.145,102.33
32.445,32.113,76.095,45.114,102.4
32.52,32.191,76.093,45.084,102.47
32.595,32.268,76.091,45.053,102.54
32.67,32.346,76.089,45.023,102.61
32.745,32.424,76.086,44.992,102.68
32.82,32.501,76.084,44.962,102.76
32.895,32.579,76.082,44.931,102.83
32.97,32.656,76.08,44.901,102.9
33.045,32.734,76.078,44.87,102.97
33.12,32.811,76.075,44.839,103.04
33.195,32.889,76.073,44.809,103.11
33.27,32.967,76.071,44.778,103.18
33.345,33.044,76.069,44.748,103.26
33.42,33.122,76.067,44.717,103.33
33.495,33.199,76.064,44.687,103.4
33.57,33.277,76.062,44.656,103.47
33.645,33.354,76.06,44.626,103.54
33.719,33.432,76.058,44.595,103.61
33.794,33.51,76.056,44.564,103.68
33.869,33.587,76.054,44.534,103.75
33.944,33.665,76.051,44.503,103.83
34.019,33.742,76.049,44.473,103.9
34.094,33.82,76.047,44.442,103.97
34.169,33.897,76.045,44.412,104.04
34.244,33.975,76.043,44.381,104.11
34.319,34.053,76.04,44.35,104.18
34.394,34.13,76.038,44.32,104.25
34.469,34.208,76.036,44.289,104.32
34.544,34.285,76.034,44.259,104.4
34.619,34.363,76.032,44.228,104.47
34.694,34.44,76.029,44.198,104.54
34.769,34.518,76.027,44.167,104.61
34.844,34.595,76.025,44.137,104.68
34.919,34.673,76.023,44.106,104.75
34.994,34.751,76.021,44.075,104.82
35.069,34.828,76.019,44.045,104.89
35.144,34.906,76.016,44.014,104.97
35.219,34.983,76.014,43.984,105.04
35.294,35.061,76.012,43.953,105.11
35.369,35.138,76.01,43.923,105.18
35.445,35.216,76.008,43.892,105.25
35.52,35.294,76.005,43.862,105.32
35.595,35.371,76.003,43.831,105.39
35.67,35.449,76.001,43.8,105.46
35.745,35.526,75.999,43.77,105.54
35.82,35.604,75.997,43.739,105.61
35.895,35.681,75.994,43.709,105.68
35.97,35.759,75.992,43.678,105.75
36.045,35.837,75.99,43.648,105.82
36.12,35.914,75.988,43.617,105.89
36.195,35.992,75.986,43.587,105.96
36.27,36.069,75.984,43.556,106.03
36.346,36.147,75.981,43.525,106.11
36.421,36.224,75.979,43.495,106.18
36.496,36.302,75.977,43.464,106.25
36.571,36.38,75.975,43.434,106.32
36.646,36.457,75.973,43.403,106.39
36.721,36.535,75.97,43.373,106.46
36.796,36.612,75.968,43.342,106.53
36.871,36.69,75.966,43.312,106.6
36.946,36.767,75.964,43.281,106.68
37.021,36.845,75.962,43.25,106.75
37.096,36.923,75.959,43.22,106.82
37.171,37,75.957,43.189,106.89
37.246,37.078,75.955,43.159,106.96
37.322,37.155,75.953,43.128,107.03
37.397,37.233,75.951,43.098,107.1
37.472,37.31,75.949,43.067,107.17
37.547,37.388,75.946,43.037,107.25
37.622,37.466,75.944,43.006,107.32
37.697,37.543,75.942,42.975,107.39
37.772,37.621,75.94,42.945,107.46
37.847,37.698,75.938,42.914,107.53
37.922,37.776,75.935,42.884,107.6
37.997,37.853,75.933,42.853,107.67
38.08,37.931,75.931,42.823,107.74
38.16,38.009,75.929,42.792,107.82
38.241,38.086,75.927,42.762,107.89
38.322,38.164,75.924,42.731,107.96
38.402,38.241,75.922,42.7,108.03
38.483,38.319,75.92,42.67,108.1
38.564,38.396,75.918,42.639,108.17
38.645,38.474,75.916,42.609,108.24
38.725,38.551,75.914,42.578,108.31
38.806,38.629,75.911,42.548,108.39
38.887,38.707,75.909,42.517,108.46
38.967,38.784,75.907,42.487,108.53
39.048,38.862,75.905,42.456,108.6
39.129,38.939,75.903,42.425,108.67
39.209,39.017,75.9,42.395,108.74
39.29,39.094,75.898,42.364,108.81
39.371,39.172,75.896,42.334,108.88
39.452,39.25,75.894,42.303,108.96
39.532,39.327,75.892,42.273,109.03
39.613,39.405,75.889,42.242,109.1
39.694,39.482,75.887,42.212,109.17
39.774,39.56,75.885,42.181,109.24
39.855,39.637,75.883,42.15,109.31
39.936,39.715,75.881,42.12,109.38
40.016,39.793,75.879,42.089,109.45
40.097,39.87,75.876,42.059,109.53
40.178,39.948,75.874,42.028,109.6
40.258,40.025,75.872,41.998,109.67
40.339,40.103,75.87,41.967,109.74
40.42,40.18,75.868,41.937,109.81
40.501,40.258,75.865,41.906,109.88
40.581,40.336,75.863,41.875,109.95
40.662,40.413,75.861,41.845,110.03
40.743,40.491,75.859,41.814,110.1
40.823,40.568,75.857,41.784,110.17
40.904,40.646,75.854,41.753,110.24
40.985,40.723,75.852,41.723,110.31
41.065,40.801,75.85,41.692,110.38
41.146,40.879,75.848,41.661,110.45
41.227,40.956,75.846,41.631,110.52
41.305,41.034,75.844,41.6,110.6
41.38,41.111,75.841,41.57,110.67
41.456,41.189,75.839,41.539,110.74
41.532,41.266,75.837,41.509,110.81
41.608,41.344,75.835,41.478,110.88
41.684,41.422,75.833,41.448,110.95
41.759,41.499,75.83,41.417,111.02
41.835,41.577,75.828,41.386,111.09
41.911,41.654,75.826,41.356,111.17
41.987,41.732,75.824,41.325,111.24
42.063,41.809,75.822,41.295,111.31
42.139,41.887,75.819,41.264,111.38
42.214,41.964,75.817,41.234,111.45
42.29,42.042,75.815,41.203,111.52
42.366,42.12,75.813,41.173,111.59
42.442,42.197,75.811,41.142,111.66
42.518,42.275,75.809,41.111,111.74
42.593,42.352,75.806,41.081,111.81
42.669,42.43,75.804,41.05,111.88
42.745,42.507,75.802,41.02,111.95
42.821,42.585,75.8,40.989,112.02
42.897,42.663,75.798,40.959,112.09
42.972,42.74,75.795,40.928,112.16
43.048,42.818,75.793,40.898,112.23
43.124,42.895,75.791,40.867,112.31
43.2,42.973,75.789,40.836,112.38
43.276,43.05,75.787,40.806,112.45
43.352,43.128,75.784,40.775,112.52
43.427,43.206,75.782,40.745,112.59
43.503,43.283,75.78,40.714,112.66
43.579,43.361,75.778,40.684,112.73
43.655,43.438,75.776,40.653,112.8
43.731,43.516,75.773,40.623,112.88
43.806,43.593,75.771,40.592,112.95
43.882,43.671,75.769,40.561,113.02
43.958,43.749,75.767,40.531,113.09
44.034,43.826,75.765,40.5,113.16
44.11,43.904,75.763,40.47,113.23
44.186,43.981,75.76,40.439,113.3
44.261,44.059,75.758,40.409,113.37
44.337,44.136,75.756,40.378,113.45
44.413,44.214,75.754,40.348,113.52
44.489,44.292,75.752,40.317,113.59
44.565,44.369,75.749,40.286,113.66
44.64,44.447,75.747,40.256,113.73
44.716,44.524,75.745,40.225,113.8
44.792,44.602,75.743,40.195,113.87
44.868,44.679,75.741,40.164,113.94
44.944,44.757,75.738,40.134,114.02
45.02,44.835,75.736,40.103,114.09
45.095,44.912,75.734,40.073,114.16
45.171,44.99,75.732,40.042,114.23
45.247,45.067,75.73,40.011,114.3
45.323,45.145,75.728,39.981,114.37
45.399,45.222,75.725,39.95,114.44
45.474,45.3,75.723,39.92,114.51
45.55,45.377,75.721,39.889,114.59
45.626,45.455,75.719,39.859,114.66
45.702,45.533,75.717,39.828,114.73
45.778,45.61,75.714,39.798,114.8
45.854,45.688,75.712,39.767,114.87
45.929,45.765,75.71,39.736,114.94
46.005,45.843,75.708,39.706,115.01
46.081,45.92,75.706,39.675,115.08
46.157,45.998,75.703,39.645,115.16
46.233,46.076,75.701,39.614,115.23
46.308,46.153,75.699,39.584,115.3
46.384,46.231,75.697,39.553,115.37
46.46,46.308,75.695,39.523,115.44
46.536,46.386,75.693,39.492,115.51
46.612,46.463,75.69,39.461,115.58
46.688,46.541,75.688,39.431,115.65
46.763,46.619,75.686,39.4,115.73
46.839,46.696,75.684,39.37,115.8
46.915,46.774,75.682,39.339,115.87
46.991,46.851,75.679,39.309,115.94
47.067,46.929,75.677,39.278,116.01
47.142,47.006,75.675,39.248,116.08
47.218,47.084,75.673,39.217,116.15
47.294,47.162,75.671,39.186,116.22
47.37,47.239,75.668,39.156,116.3
47.446,47.317,75.666,39.125,116.37
47.522,47.394,75.664,39.095,116.44
47.597,47.472,75.662,39.064,116.51
47.673,47.549,75.66,39.034,116.58
47.749,47.627,75.658,39.003,116.65
47.825,47.705,75.655,38.972,116.72
47.901,47.782,75.653,38.942,116.79
47.976,47.86,75.651,38.911,116.87
48.052,47.937,75.649,38.881,116.94
48.128,48.015,75.647,38.85,117.01
48.204,48.092,75.644,38.82,117.08
48.28,48.17,75.642,38.789,117.15
48.356,48.248,75.64,38.759,117.22
48.431,48.325,75.638,38.728,117.29
48.507,48.403,75.636,38.697,117.37
48.582,48.48,75.633,38.667,117.44
48.657,48.558,75.631,38.636,117.51
48.732,48.635,75.629,38.606,117.58
48.806,48.713,75.627,38.575,117.65
48.881,48.791,75.625,38.545,117.72
48.956,48.868,75.623,38.514,117.79
49.031,48.946,75.62,38.484,117.86
49.106,49.023,75.618,38.453,117.94
49.181,49.101,75.616,38.422,118.01
49.261,49.178,75.614,38.392,118.08
49.344,49.256,75.612,38.361,118.15
49.427,49.333,75.609,38.331,118.22
49.51,49.411,75.607,38.3,118.29
49.593,49.489,75.605,38.27,118.36
49.676,49.566,75.603,38.239,118.43
49.759,49.644,75.601,38.209,118.51
49.842,49.721,75.598,38.178,118.58
49.925,49.799,75.596,38.147,118.65
50.008,49.876,75.594,38.117,118.72
50.091,49.954,75.592,38.086,118.79
50.174,50.032,75.59,38.056,118.86
50.257,50.109,75.588,38.025,118.93
50.34,50.187,75.585,37.995,119
50.423,50.264,75.583,37.964,119.08
50.506,50.342,75.581,37.934,119.15
50.589,50.419,75.579,37.903,119.22
50.672,50.497,75.577,37.872,119.29
50.755,50.575,75.574,37.842,119.36
50.838,50.652,75.572,37.811,119.43
50.921,50.73,75.57,37.781,119.5
51.004,50.807,75.568,37.75,119.57
51.087,50.885,75.566,37.72,119.65
51.17,50.962,75.563,37.689,119.72
51.256,51.04,75.561,37.659,119.79
51.341,51.118,75.559,37.628,119.86
51.427,51.195,75.557,37.597,119.93
51.512,51.273,75.555,37.567,120
51.598,51.35,75.553,37.536,120.07
